"sv.mu","sv.cil","sv.cih"
0.648628510866989,0.5569085199236,0.732848067730132
0.409356899223503,0.318842403559527,0.507181625050251
0.277694055967699,0.185746848367245,0.365113088562301
0.138533990644239,0.076390451823159,0.214327165287278
0.101510000630444,0.0481185969596835,0.173647847647269
0.0791950276801702,0.0315071958105582,0.142294346654179
0.052096752666618,0.0148243365245048,0.106186740218925
0.0268051835699265,0.0049576402633394,0.0653103548633796
0.015023800558251,0.00133606887500206,0.0442422117117375
0.00899687422543868,0.000321162306109217,0.0339578657505177
